Property #,Address,Sales Date,HSETYPE,One and a Half Storey,Two Storey,AGEYR,LFA,EXTAMEN,Minor Exterior Amenities,Two or Three Extra Amenities,More than Three Exterior Amenities,EXTFINFACTOR,Only Brick,GAR,Carport,One Car Garage,Two Car Garage,STSCAPE,Average View,Good View,CENAIR,POOL,INTCOND,Average Interior Condition,Good Interior Condition,Excellent Interior Condition,BSMTFINAREA,BI AMEN APPL,LANESRD,TRAFCOUNT,PRICE
1,1449 Oxford St.E,2/19/1999,0,0,0,40,674,1,1,0,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,420,1,1,30000,102000
2,1390 Oxford St E,1/19/1998,0,0,0,45,642,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,559,6,1,30000,115500
3,1390 Oxford St E,9/29/1999,0,0,0,44,642,2,0,1,0,2,0,1,1,0,0,3,1,0,1,0,5,0,1,0,559,6,1,30000,115000
4,1374 Oxford St E,8/31/1999,0,0,0,48,928,1,1,0,0,2,0,1,1,0,0,3,1,0,1,0,3,1,0,0,429,1,1,36000,110000
5,1176 Oxford St E,4/30/2001,3,0,1,52,999,2,0,1,0,3,1,1,1,0,0,3,1,0,1,0,3,1,0,0,352,0,1,29000,109000
6,987 Oxford St E,1/21/2002,0,0,0,50,735,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,7,0,0,1,202,0,1,32000,106000
7,644 Oxford St E,2/14/2002,3,0,1,25,1229,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,557,0,1,33000,127000
8,638 Oxford St E,2/16/1999,3,0,1,50,682,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,230,0,1,33000,100000
9,408 Oxford St E,5/29/1998,2,1,0,60,1280,2,0,1,0,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,30000,105000
10,91 Oxford St W,12/21/1998,3,0,1,100,1300,3,0,0,1,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,36000,113000
11,104 Oxford St W,8/18/2001,0,0,0,60,606,1,1,0,0,1,0,0,0,0,0,3,1,0,1,0,3,1,0,0,135,1,1,34000,103000
12,108 Oxford St W,5/15/2000,0,0,0,60,665,2,0,1,0,1,0,0,0,0,0,3,1,0,1,0,5,0,1,0,482,1,1,34000,112000
13,1230 Oxford St W,9/22/2000,0,0,0,16,1100,2,0,1,0,1,0,1,1,0,0,3,1,0,1,0,7,0,0,1,1009,1,0,18000,148000
14,1224 Oxford St W,2/22/2002,0,0,0,23,743,1,1,0,0,3,1,0,0,0,0,3,1,0,1,0,3,1,0,0,522,3,0,18000,117000
15,1218 Oxford St W,7/26/2001,0,0,0,24,1015,2,0,1,0,3,1,0,0,0,0,3,1,0,1,0,5,0,1,0,552,0,0,18000,133000
16,1216 Oxford St W,10/19/2001,0,0,0,46,1084,0,0,0,0,3,1,2,0,1,0,1,0,0,0,0,5,0,1,0,0,1,0,18000,135800
17,946 Oxford St W,9/27/1999,0,0,0,39,866,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,668,0,0,23000,139000
18,922 Oxford St W,1/24/2002,0,0,0,44,777,2,0,1,0,3,1,1,1,0,0,3,1,0,1,1,3,1,0,0,714,1,0,23000,144000
19,898 Oxford St W,10/10/2000,0,0,0,40,857,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,5,0,1,0,643,5,0,23000,114000
20,880 Oxford St W,4/29/2001,0,0,0,42,1380,2,0,1,0,3,1,3,0,0,1,3,1,0,1,0,5,0,1,0,1134,3,0,23000,147000
21,814 Oxford St W,7/9/2000,0,0,0,40,852,3,0,0,1,1,0,1,1,0,0,3,1,0,1,1,7,0,0,1,490,3,0,23000,150500
22,808 Oxford St W,5/25/2000,0,0,0,40,745,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,7,0,0,1,521,3,0,23000,138900
23,790 Oxford St W,11/24/1998,0,0,0,40,1112,2,0,1,0,1,0,1,1,0,0,1,0,0,0,0,5,0,1,0,693,1,0,21000,127700
24,770 Oxford St W,10/16/2000,0,0,0,42,723,1,1,0,0,3,1,0,0,0,0,1,0,0,1,0,3,1,0,0,723,0,0,23000,106000
25,746 Oxford St W,8/7/1998,0,0,0,48,860,2,0,1,0,3,1,2,0,1,0,3,1,0,0,1,3,1,0,0,561,0,0,21000,118000
26,201 Wharncliffe Rd N,12/20/2001,3,0,1,65,846,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,26000,120000
27,199 Wharncljffe Rd N,12/20/2001,3,0,1,65,719,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,26000,120000
28,163 Wharncliffe Rd N,8/31/2001,0,0,0,40,583,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,560,5,1,25000,105000
29,95 Wharncliffe Rd N,6/15/1998,3,0,1,65,948,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,5,0,1,0,0,0,1,24000,108000
30,379 Wharncliffe Rd S,2/28/2002,2,1,0,60,1184,2,0,1,0,3,1,1,1,0,0,1,0,0,0,0,3,1,0,0,505,0,1,33000,109000
31,791 Wharncliffe Rd S,5/17/2000,0,0,0,37,1140,0,0,0,0,1,0,1,1,0,0,5,0,1,0,0,3,1,0,0,0,1,1,25500,178000
32,2123 Wharncliffe Rd S,7/15/1998,0,0,0,33,1108,1,1,0,0,1,0,1,1,0,0,5,0,1,0,0,3,1,0,0,448,5,1,19000,168000
33,2133 Wharncliffe Rd S,7/24/2001,0,0,0,45,677,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,110,0,1,19000,127000
34,2133 Wharncliffe Rd S,5/25/2000,0,0,0,45,677,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,110,0,1,19000,128000
35,2237 Wharncliffe Rd S,2/2/2002,2,1,0,45,1674,0,0,0,0,3,1,2,0,1,0,3,1,0,0,0,3,1,0,0,0,4,1,19000,196000
36,1081 Riverside Dr,5/3/2000,3,0,1,65,1304,1,1,0,0,3,1,1,1,0,0,3,1,0,0,0,5,0,1,0,425,3,0,11000,144900
37,831 Riverside Dr,4/19/2001,0,0,0,65,1563,2,0,1,0,1,0,2,0,1,0,3,1,0,0,1,5,0,1,0,384,1,0,14000,182000
38,803 Riverside Dr,5/25/1999,0,0,0,45,821,2,0,1,0,1,0,1,1,0,0,3,1,0,0,1,5,0,1,0,450,4,0,14000,185000
39,774 Riverside Dr,10/2/1999,2,1,0,118,1055,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,3,0,14000,148500
40,753 Riverside Dr,1/26/1998,0,0,0,40,897,2,0,1,0,3,1,1,1,0,0,1,0,0,1,0,3,1,0,0,737,0,0,14000,143000
41,747 Riverside Dr,5/20/1998,0,0,0,40,1381,2,0,1,0,3,1,2,0,1,0,1,0,0,1,0,5,0,1,0,648,4,0,14000,133000
42,747 Riverside Dr,2/13/1999,0,0,0,41,1381,2,0,1,0,3,1,2,0,1,0,1,0,0,1,0,5,0,1,0,648,4,0,14000,158000
43,649 Riverside Dr,3/22/1999,0,0,0,42,865,2,0,1,0,1,0,2,0,1,0,3,1,0,1,0,5,0,1,0,708,2,0,14000,149000
44,472 Riverside Dr,11/13/1999,0,0,0,37,773,2,0,1,0,2,0,1,1,0,0,3,1,0,0,1,3,1,0,0,732,4,0,18500,168000
45,464 Riverside Dr,5/31/2001,0,0,0,47,822,2,0,1,0,3,1,1,1,0,0,5,0,1,0,0,5,0,1,0,682,0,0,18500,158000
46,435 Riverside Dr,11/18/2001,0,0,0,45,1008,2,0,1,0,1,0,1,1,0,0,3,1,0,0,0,3,1,0,0,490,0,0,18500,139000
47,361 Riverside Dr,5/14/1998,3,0,1,50,1202,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,698,3,0,18500,152500
48,358 Riverside Dr,4/23/2000,0,0,0,40,1076,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,3,1,0,0,566,3,0,18500,163000
49,354 Riverside Dr,6/30/2000,0,0,0,48,868,2,0,1,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,664,0,0,18500,140000
50,346 Riverside Dr,3/20/2000,3,0,1,48,1085,2,0,1,0,3,1,1,1,0,0,5,0,1,0,0,3,1,0,0,578,0,0,18500,157000
51,338 Riverside Dr,5/31/1999,0,0,0,45,487,1,1,0,0,2,0,1,1,0,0,3,1,0,0,0,1,0,0,0,436,0,0,19000,111000
52,275 Riverside Dr,6/6/2000,3,0,1,65,1050,3,0,0,1,4,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,19000,127000
53,269 Riverside Dr,5/25/2001,3,0,1,70,1186,0,0,0,0,3,1,1,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,19000,106000
54,259 Riverside Dr,11/5/2000,0,0,0,75,947,2,0,1,0,4,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,1,0,19000,145000
55,251 Riverside Dr,8/4/1998,2,1,0,70,1280,3,0,0,1,3,1,2,0,1,0,5,0,1,1,0,3,1,0,0,0,2,0,19000,126000
